ACID Test," A test applied to data for atomicity, consistency, isolation and durability.",
Aggregation," A process of searching, gathering and presenting data.",
Algorithm, A mathematical formula or statistical process used to perform analysis of data.,
Alpha Risk, The maximum probability of making a Type I error. This probability is established by the experimenter and often set at 5%.,
Alternative Hypothesis (Ha), Statement of a change or difference; assumed to be true if the null hypothesis is rejected.,
Anomaly Detection," The process of identifying rare or unexpected items or events in a dataset that do not conform to other items in the dataset and do not match a projected pattern or expected behavior. Anomalies are also called outliers, exceptions, surprises or contaminants and they often provide critical and actionable information.",
Anonymization, Making data anonymous; severing of links between people in a database and their records to prevent the discovery of the source of the records.,
ANOVA," One-way ANOVA is a generalization of the 2-sample t-test, used to compare the means of more than two samples to each other.",
ANOVA Table, The ANOVA table is the standard method of organizing the many calculations necessary for conducting an analysis of variance.,
API (Application Program Interface), A set of programming standards and instructions for accessing or building web-based software applications.,
Application, Software that enables a computer to perform a certain task.,
Artificial Intelligence, The apparent ability of a machine to apply information gained from previous experience accurately to new situations in a way that a human would.,
Batch Processing, Batch data processing is an efficient way of processing high volumes of data where a group of transactions is collected over a period of time. Hadoop is focused on batch data processing.,
Bayes Theorem," A theorem based on conditional probabilities. It uses relevant evidence, also known as conditional probability, to determine the probability of an event, based on prior knowledge of conditions that might be related to the event.",
Beta Risk, The risk or probability of making a Type II error.,
Big Data," Big data refers to datasets whose size is beyond the ability of typical database software tools to capture, store, manage and analyze.",
Business Intelligence," The general term used for the identification, extraction and analysis of data.",
Cassandra, A popular open source database management system managed by The Apache Software Foundation. Designed to handle large amounts of distributed data across commodity servers while providing a highly available service. It is a NoSQL solution that was initially developed by Facebook.,
Classification Analysis, A systematic process for obtaining important and relevant information about data (metadata) and assigning data to a particular group or class.,
Clickstream Analytics, The analysis of users’ web activity through the items they click on a page.,
Cloud, A broad term that refers to any internet-based application or service that is hosted remotely.,
Cloud Computing, A distributed computing system hosted and running on remote servers and accessible from anywhere on the internet.,
Cluster Computing," Computing using a ‘cluster’ of pooled resources of multiple servers. Getting more technical, we might be talking about nodes, cluster management layer, load balancing and parallel processing etc.",
Clustering Analysis, The process of identifying objects that are similar to each other and clustering them in order to understand the differences as well as the similarities within the data.,
Coefficient of Variation, Standard deviation normalized by the mean, ?/?.
Columnar Database or Column-oriented Database," A database that stores data by column rather than by row. In a row-based database, a row might contain a name, address and phone number. In a column-oriented database, all names are in one column, addresses in another and so on. A key advantage of a columnar database is faster hard disk access.",
Comparative Analysis, Data analysis that compares two or more data sets or processes to detect patterns within very large data sets.,
Confidence Interval, A range of values which is likely to contain the population parameter of interest with a given level of confidence.,
